Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,Scaled IMDb Rating
Dirty Dancing,English,7.0,1 h 40 min,1987.0,13+,Patrick Swayze and Jennifer Grey star in this spirit-lifting story about a summer love affair between a naïve 17-year-old girl and a charismatic dance instructor at a Catskills hotel.,0.6913580246913581
Gatham (Malayalam),Malayalam,6.1,1 h 41 min,2020.0,18+,"Rishi and his girlfriend Adithi are on their way to visit Rishi's father and their car breaks down. A stranger offers them a stay at his house and as their stay extends, there are startling twists. What is Rishi's connection with the stranger, and how does he and his girlfriend come out of the weird situation is the story of Gatham.",0.5802469135802469
Ishhya,Marathi,5.5,1 h 59 mins,2006.0,All,"Vaibhav and Rasika, a happily married couple, get along despite their opposite natures. Their only conflict arises when Vaibhav wants children and Rasika refuses to get pregnant and ruin her figure. What follows is an unexpected turn of events!",0.5061728395061729
Universal Soldier: Day of Reckoning,Telugu,5.0,1 h 45 min,2012.0,18+,"John awakens from a coma to discover his wife and daughter were slaughtered in a brutal home invasion. Haunted by images of the attack, he vows to kill the man responsible: The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit.",0.44444444444444453
Manikarnika: The Queen of Jhansi,Tamil,6.4,2 h 20 min,2019.0,16+,Manikarnika – Queen of Jhansi or well known as Lakshmi Bai of Jhansi is her real live story. She was the first woman in history to fight against the British in the cry of Independence.,0.617283950617284
Rowdy Baadshah,Hindi,6.4,2 h 10 min,2014.0,13+,Sadhu Bhai is a notorious mafia leader who escaped India after various terrorist attacks and conquered the entire Southeast Asia. Baadshah enters the underworld for his father. Sadhu Bhai's partner Crazy Robert captures Baadshah and his father as Baadshah revolts against Sadhu Bhai. But Baadshah easily defeats Crazy Robert.,0.617283950617284
Dare,Telugu,5.8,2 h 25 min,2011.0,NR,"Dare is a 2011 Indian Telugu film, directed by Ram and produced by G Murali. The film stars Jeeva, Anjali and Karunas in lead roles. The film had musical score by Yuvan Shankar Raja.",0.54320987654321
Sugar Salt Ani Prem,Marathi,6.2,2 h 5 mins,2015.0,All,"Salt Sugar Ani Prem is a story of three women Aditi, Soumya, and Ananya  who are also struggling in their respective lives. It so happens that these three women happen to cross paths. The story then develops their relationship and how their friendship gels with sugar, salt and love.",0.5925925925925927
Evil Eye,English,4.7,1 h 29 min,2020.0,16+,Welcome to the Blumhouse! A superstitious mother is convinced that her daughter’s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.,0.40740740740740744
Swarg,Hindi,6.7,2 h 31 min,1990.0,All,"Swarg Is A Bollywood Hindi Family Drama Film, Directed By David Dhawan, Starring Rajesh Khanna, Govinda And Juhi Chawla In The Lead Roles. Krishna Worships His Master, Sahabji, But Circumstances Lead To His Ouster From The House. He Works Hard, Becomes A Powerful Man And Returns To Restore His Master's Honour.",0.6543209876543211
Poojaikku Vantha Malar,Tamil,7.5,2 h 41 min,1965.0,NR,"Suresh and Ravi are intimate friends, who study in the same college. But their friendship runs into trouble when both happen to work for the same company with different grades.",0.7530864197530864
Nayakan,Tamil,8.6,2 h 36 min,1987.0,18+,"When a small boy sees his father killed in cold blood by a policeman, he kills the policeman and runs away to Bombay. Eventually, how a small boy becomes a Mumbai Don.The film is a life travel of a Mumbai Don.",0.888888888888889
